iter	Passed	Remaining
0	141	141478
1	144	71917
2	146	48690
3	148	36950
4	150	29918
5	152	25197
6	154	21876
7	156	19411
8	158	17418
9	159	15813
10	161	14496
11	162	13416
12	164	12495
13	166	11723
14	168	11039
15	170	10464
16	171	9943
17	174	9498
18	176	9111
19	178	8737
20	180	8391
21	181	8068
22	183	7773
23	184	7520
24	186	7278
25	188	7054
26	190	6882
27	193	6705
28	195	6534
29	196	6352
30	197	6177
31	198	6012
32	200	5885
33	202	5748
34	203	5606
35	204	5468
36	205	5335
37	205	5210
38	206	5091
39	207	4979
40	208	4871
41	209	4769
42	209	4672
43	210	4574
44	211	4482
45	211	4394
46	212	4310
47	213	4235
48	214	4163
49	215	4097
50	216	4026
51	217	3957
52	217	3889
53	218	3824
54	218	3761
55	219	3700
56	220	3640
57	220	3581
58	221	3525
59	221	3471
60	222	3417
61	222	3366
62	223	3316
63	223	3268
64	223	3221
65	224	3176
66	224	3132
67	225	3086
68	225	3045
69	226	3005
70	226	2966
71	227	2929
72	227	2892
73	228	2858
74	229	2829
75	230	2796
76	230	2766
77	231	2735
78	231	2703
79	232	2672
80	232	2642
81	233	2612
82	233	2583
83	234	2555
84	234	2526
85	235	2499
86	235	2471
87	235	2445
88	236	2420
89	236	2395
90	237	2371
91	237	2348
92	238	2325
93	238	2303
94	239	2280
95	239	2259
96	240	2238
97	240	2217
98	241	2197
99	241	2177
100	242	2158
101	242	2136
102	243	2119
103	244	2104
104	245	2090
105	245	2073
106	246	2056
107	246	2038
108	247	2021
109	247	2005
110	248	1988
111	248	1972
112	249	1956
113	249	1941
114	250	1926
115	250	1910
116	251	1895
117	251	1880
118	252	1865
119	252	1851
120	252	1837
121	253	1824
122	253	1808
123	254	1795
124	254	1782
125	255	1769
126	255	1757
127	255	1743
128	256	1731
129	257	1719
130	257	1708
131	258	1697
132	259	1688
133	259	1679
134	260	1669
135	261	1659
136	261	1648
137	262	1636
138	262	1626
139	263	1615
140	263	1605
141	264	1595
142	264	1585
143	264	1575
144	265	1565
145	265	1555
146	266	1545
147	266	1536
148	267	1527
149	267	1517
150	268	1508
151	268	1499
152	269	1490
153	269	1482
154	270	1474
155	270	1466
156	271	1457
157	271	1449
158	272	1441
159	272	1432
160	273	1424
161	274	1418
162	274	1411
163	275	1404
164	276	1397
165	276	1389
166	277	1382
167	277	1374
168	278	1367
169	278	1360
170	279	1352
171	279	1345
172	279	1338
173	280	1331
174	280	1324
175	281	1317
176	281	1310
177	282	1304
178	282	1297
179	283	1290
180	283	1283
181	284	1276
182	284	1270
183	285	1264
184	285	1258
185	286	1252
186	286	1245
187	287	1239
188	287	1233
189	288	1227
190	288	1222
191	289	1218
192	290	1213
193	291	1209
194	291	1204
195	292	1198
196	292	1193
197	293	1187
198	293	1182
199	294	1176
200	294	1171
201	295	1165
202	295	1160
203	296	1155
204	296	1150
205	297	1144
206	297	1139
207	298	1134
208	298	1130
209	299	1125
210	299	1120
211	300	1115
212	300	1110
213	301	1105
214	301	1101
215	302	1096
216	302	1091
217	303	1086
218	303	1082
219	304	1079
220	305	1075
221	305	1072
222	306	1068
223	307	1063
224	307	1059
225	307	1054
226	308	1050
227	308	1046
228	309	1041
229	309	1037
230	310	1033
231	310	1028
232	311	1024
233	311	1020
234	312	1016
235	312	1012
236	313	1008
237	313	1004
238	314	1000
239	314	996
240	315	992
241	315	988
242	316	984
243	316	981
244	317	977
245	317	973
246	318	969
247	318	966
248	319	965
249	321	963
250	321	960
251	322	956
252	322	953
253	323	949
254	323	946
255	324	942
256	324	939
257	325	935
258	325	932
259	326	928
260	326	925
261	327	921
262	327	918
263	328	915
264	328	911
265	329	908
266	329	905
267	330	901
268	330	898
269	331	895
270	331	892
271	332	888
272	332	885
273	333	882
274	333	879
275	334	876
276	334	874
277	335	871
278	336	870
279	337	867
280	337	864
281	338	861
282	338	858
283	339	855
284	339	852
285	340	849
286	340	846
287	341	843
288	341	840
289	342	837
290	342	834
291	342	831
292	343	828
293	343	825
294	344	823
295	344	820
296	345	817
297	345	814
298	346	811
299	346	809
300	347	806
301	347	803
302	348	800
303	348	798
304	349	796
305	350	794
306	351	794
307	352	791
308	352	788
309	353	786
310	353	783
311	354	781
312	354	778
313	355	775
314	355	773
315	356	770
316	356	768
317	357	765
318	357	763
319	358	760
320	358	758
321	358	755
322	359	753
323	359	750
324	360	748
325	360	746
326	361	743
327	361	741
328	362	739
329	362	736
330	363	734
331	363	732
332	364	730
333	365	728
334	366	727
335	366	725
336	367	722
337	367	720
338	368	718
339	368	716
340	369	713
341	369	711
342	370	709
343	370	707
344	371	704
345	371	702
346	372	700
347	372	698
348	373	696
349	373	693
350	374	691
351	374	689
352	375	687
353	375	685
354	376	683
355	376	681
356	377	679
357	377	677
358	378	675
359	378	673
360	379	672
361	381	671
362	382	670
363	383	669
364	383	667
365	384	665
366	385	664
367	385	662
368	386	660
369	387	659
370	387	657
371	388	655
372	389	654
373	389	652
374	390	650
375	391	649
376	391	647
377	392	645
378	392	643
379	393	641
380	393	639
381	394	637
382	395	636
383	396	635
384	396	633
385	397	632
386	397	630
387	398	628
388	398	626
389	399	624
390	399	622
391	400	620
392	400	619
393	401	617
394	401	615
395	402	613
396	402	611
397	403	609
398	403	608
399	404	606
400	404	604
401	405	602
402	405	600
403	406	599
404	406	597
405	407	595
406	407	594
407	408	592
408	408	590
409	409	588
410	409	587
411	410	585
412	411	584
413	412	583
414	412	581
415	413	580
416	413	578
417	414	576
418	414	574
419	415	573
420	415	571
421	416	569
422	416	568
423	417	566
424	417	564
425	418	563
426	418	561
427	419	560
428	419	558
429	419	556
430	420	555
431	420	553
432	421	551
433	422	550
434	422	548
435	423	547
436	423	545
437	424	544
438	424	542
439	425	541
440	426	540
441	426	538
442	427	537
443	428	536
444	428	534
445	429	533
446	429	531
447	430	530
448	430	528
449	431	526
450	431	525
451	432	523
452	432	522
453	433	520
454	433	519
455	434	517
456	434	516
457	434	514
458	435	513
459	435	511
460	436	510
461	436	508
462	437	507
463	437	505
464	438	504
465	438	502
466	439	501
467	439	499
468	440	498
469	441	497
470	441	496
471	442	495
472	443	493
473	443	492
474	444	491
475	444	489
476	445	488
477	445	486
478	446	485
479	446	484
480	447	482
481	447	481
482	448	479
483	448	478
484	449	477
485	449	475
486	450	474
487	450	472
488	451	471
489	451	470
490	452	468
491	452	467
492	453	466
493	453	464
494	454	463
495	454	462
496	455	461
497	456	460
498	457	459
499	458	458
500	458	456
501	459	455
502	459	454
503	460	452
504	460	451
505	461	450
506	461	448
507	462	447
508	462	446
509	463	444
510	463	443
511	463	442
512	464	440
513	464	439
514	465	438
515	466	437
516	466	435
517	467	434
518	467	433
519	467	431
520	468	430
521	468	429
522	469	428
523	469	426
524	470	425
525	471	424
526	471	423
527	472	422
528	473	421
529	473	420
530	474	418
531	474	417
532	475	416
533	476	415
534	477	414
535	477	413
536	478	412
537	478	410
538	479	409
539	479	408
540	479	407
541	480	406
542	480	404
543	481	403
544	481	402
545	482	401
546	482	399
547	483	398
548	483	397
549	484	396
550	484	395
551	485	394
