iter	Passed	Remaining
0	150	150268
1	152	76092
2	154	51195
3	155	38727
4	157	31274
5	158	26321
6	161	22938
7	163	20288
8	165	18172
9	166	16478
10	167	15103
11	169	13946
12	170	12966
13	172	12146
14	173	11421
15	176	10835
16	177	10276
17	179	9767
18	180	9315
19	181	8907
20	183	8538
21	184	8203
22	185	7887
23	186	7594
24	187	7320
25	189	7089
26	190	6872
27	191	6656
28	192	6453
29	193	6261
30	194	6083
31	195	5915
32	197	5773
33	198	5630
34	198	5486
35	199	5351
36	200	5223
37	201	5103
38	202	4990
39	204	4897
40	205	4798
41	205	4692
42	206	4591
43	206	4494
44	207	4401
45	207	4312
46	208	4227
47	209	4146
48	209	4068
49	210	3993
50	210	3920
51	211	3850
52	211	3783
53	212	3718
54	212	3655
55	213	3595
56	213	3537
57	214	3481
58	214	3426
59	215	3374
60	215	3323
61	216	3274
62	216	3226
63	217	3180
64	218	3143
65	219	3108
66	220	3068
67	220	3028
68	221	2990
69	222	2951
70	222	2913
71	223	2876
72	223	2840
73	224	2805
74	224	2771
75	225	2738
76	225	2705
77	226	2674
78	226	2643
79	227	2613
80	227	2584
81	228	2555
82	228	2525
83	229	2497
84	229	2471
85	230	2445
86	230	2419
87	231	2394
88	231	2370
89	232	2345
90	232	2322
91	233	2303
92	234	2285
93	234	2263
94	235	2242
95	235	2220
96	236	2199
97	236	2179
98	237	2159
99	237	2139
100	238	2120
101	238	2101
102	239	2082
103	239	2064
104	240	2047
105	240	2029
106	241	2012
107	241	1995
108	242	1979
109	242	1962
110	243	1946
111	243	1931
112	244	1915
113	244	1900
114	245	1885
115	245	1870
116	245	1855
117	246	1841
118	247	1831
119	248	1820
120	248	1808
121	249	1795
122	250	1784
123	250	1771
124	251	1759
125	251	1746
126	252	1733
127	252	1721
128	253	1709
129	253	1698
130	254	1686
131	254	1674
132	255	1663
133	255	1652
134	256	1641
135	256	1630
136	257	1619
137	257	1609
138	258	1598
139	258	1588
140	259	1578
141	259	1567
142	259	1557
143	260	1547
144	260	1538
145	261	1528
146	261	1519
147	262	1510
148	262	1501
149	263	1495
150	264	1489
151	265	1481
152	266	1472
153	266	1463
154	266	1455
155	267	1447
156	267	1438
157	268	1430
158	268	1422
159	269	1414
160	269	1405
161	270	1397
162	270	1389
163	271	1382
164	271	1374
165	272	1366
166	272	1359
167	273	1352
168	273	1344
169	274	1337
170	274	1330
171	275	1323
172	275	1316
173	276	1310
174	276	1303
175	277	1296
176	277	1290
177	277	1283
178	278	1278
179	280	1275
180	280	1270
181	281	1264
182	281	1257
183	282	1251
184	282	1245
185	283	1239
186	283	1233
187	284	1227
188	284	1221
189	285	1215
190	285	1210
191	286	1204
192	286	1198
193	287	1193
194	287	1187
195	288	1182
196	288	1176
197	289	1171
198	289	1165
199	290	1160
200	290	1155
201	291	1150
202	291	1145
203	292	1140
204	292	1135
205	293	1130
206	294	1126
207	294	1122
208	295	1118
209	296	1113
210	296	1109
211	297	1105
212	297	1100
213	298	1096
214	299	1092
215	299	1088
216	300	1084
217	301	1080
218	301	1075
219	302	1070
220	302	1066
221	303	1061
222	303	1057
223	303	1053
224	304	1048
225	304	1044
226	305	1040
227	305	1035
228	306	1031
229	306	1027
230	307	1023
231	307	1019
232	308	1014
233	309	1011
234	310	1009
235	310	1006
236	311	1002
237	311	998
238	312	994
239	312	990
240	313	986
241	313	983
242	314	979
243	314	975
244	315	971
245	315	967
246	316	964
247	316	960
248	317	956
249	317	952
250	318	949
251	318	945
252	319	942
253	319	938
254	320	935
255	320	931
256	321	928
257	321	924
258	322	921
259	322	917
260	322	914
261	323	911
262	324	908
263	325	908
264	326	906
265	327	903
266	327	900
267	328	897
268	328	893
269	329	890
270	329	887
271	330	884
272	330	881
273	331	877
274	331	874
275	332	871
276	332	868
277	333	865
278	333	862
279	334	859
280	334	856
281	335	853
282	335	850
283	336	847
284	336	844
285	337	841
286	337	838
287	338	835
288	338	833
289	339	832
290	341	830
291	341	828
292	341	825
293	342	822
294	342	819
295	343	816
296	343	814
297	344	811
298	345	808
299	345	806
300	346	803
301	346	801
302	347	798
303	347	795
304	348	793
305	348	790
306	348	787
307	349	785
308	349	782
309	350	780
310	350	777
311	351	774
312	351	772
313	352	770
314	352	767
315	353	765
316	354	763
317	355	762
318	355	759
319	356	757
320	356	755
321	357	752
322	357	750
323	358	747
324	358	745
325	359	742
326	359	740
327	360	738
328	360	735
329	361	733
330	361	731
331	362	728
332	362	726
333	363	724
334	363	721
335	364	719
336	364	717
337	364	714
338	365	712
339	365	710
340	366	708
341	366	705
342	367	703
343	367	701
344	368	699
345	369	697
346	370	696
347	370	694
348	371	692
349	371	690
350	372	688
351	372	686
352	373	684
353	373	681
354	374	679
355	374	677
356	375	675
357	375	673
358	376	671
359	376	669
360	377	667
361	377	665
362	378	663
363	378	661
364	379	659
365	379	657
366	380	655
367	380	653
368	381	651
369	381	650
370	382	648
371	383	646
372	383	645
373	384	644
374	385	642
375	386	641
376	387	639
377	387	638
378	388	636
379	390	636
380	391	635
381	391	633
382	392	631
383	392	630
384	393	628
385	394	627
386	394	625
387	395	623
388	395	621
389	396	619
390	396	617
391	397	616
392	397	614
393	398	612
394	398	610
395	399	609
396	400	608
397	401	606
398	401	605
399	402	603
400	402	601
401	403	599
402	403	597
403	404	596
404	404	594
405	405	592
406	405	590
407	405	589
408	406	587
409	406	585
410	407	583
411	407	582
412	408	580
413	408	578
414	409	577
415	409	575
416	410	573
417	410	572
418	411	570
419	411	568
420	412	567
421	412	565
422	413	563
423	413	562
424	414	560
425	415	559
426	416	558
427	416	556
428	417	555
429	417	553
430	418	551
431	418	550
432	419	548
433	419	547
434	420	545
435	420	544
436	421	542
437	421	540
438	422	539
439	422	537
440	423	536
441	423	534
442	423	533
443	424	531
444	424	530
445	425	528
446	425	526
447	426	525
448	426	523
449	427	522
450	428	521
451	428	519
452	428	518
453	429	516
454	430	515
455	431	514
456	431	513
457	432	511
458	432	510
459	433	508
460	433	507
461	434	505
462	434	504
463	435	502
464	435	501
465	436	499
466	436	498
467	437	496
468	437	495
469	438	494
470	438	492
471	439	491
472	439	489
473	440	488
474	440	486
475	440	485
476	441	484
477	441	482
478	442	481
479	442	479
480	443	478
481	443	477
482	444	475
483	445	475
484	446	474
485	446	472
486	447	471
487	447	469
488	448	468
489	448	467
490	449	465
491	449	464
492	450	463
493	450	461
494	451	460
495	451	459
496	452	457
497	452	456
498	453	454
499	453	453
500	454	452
501	454	450
502	455	449
503	455	448
504	456	446
505	456	445
506	457	444
507	457	443
508	458	441
509	458	440
510	458	439
511	459	437
512	460	437
513	461	436
514	462	435
515	462	433
516	463	432
517	463	431
518	464	430
519	464	428
520	465	427
521	465	426
522	465	424
523	466	423
524	466	422
525	467	421
526	467	419
527	468	418
528	468	417
529	469	416
530	469	414
531	470	413
532	470	412
533	471	411
534	471	410
535	472	408
536	472	407
537	473	406
538	473	405
539	474	404
540	474	402
541	475	402
542	476	401
543	477	400
544	478	399
545	478	397
546	479	396
547	479	395
548	480	394
549	480	393
550	480	391
551	481	390
552	481	389
553	482	388
554	482	387
555	483	386
556	483	384
557	484	383
558	484	382
559	485	381
560	485	380
561	486	379
562	486	377
563	487	376
564	487	375
565	488	374
566	488	373
567	489	372
568	489	371
569	490	370
570	491	369
571	492	368
572	493	367
573	493	366
574	494	365
575	495	364
576	495	363
577	497	362
